[INFO] [1782289811.505792692] [minipc_mavros_offboard]: Started minipc_mavros_offboard with arm_only=False, takeoff_height_m=0.8, hover_seconds=10.0, offboard_stabilize_seconds=20.0, use_rc_offboard=True, hold_after_arm_reject=True, ignore_z_in_arm_only=True, debug_hold_after_mode_drop=True, recent_pose_samples=30, require_vision_pose=True, vision_freshness_s=1.0, lift_only_seconds=2.5, z_ramp_seconds=2.0, target_xyz=(0.0, 0.0, -1.0), yaw_deg=0.0, auto_land=False, land_on_offboard_loss=True, offboard_land=True, offboard_land_speed_mps=0.1, offboard_land_auto_handoff_height_m=0.1, target_reached_tolerance_m=0.15, landed_hold_seconds=0.0, drift_guard_enabled=True, drift_warning_m=0.2, drift_land_m=0.3, drift_emergency_m=0.5, legacy_max_horizontal_drift_m=0.5, control_mode=mpc
[INFO] [1782289811.506040741] [minipc_mavros_offboard]: MPC parameters: dt=0.05, horizon_steps=20, max_vz=0.3, max_az=0.5, max_vxy=0.3, max_axy=0.5, xy_hold_weight=2.0, z_tracking_weight=3.0, velocity_weight=1.5, accel_weight=0.2, terminal_weight=4.0
[INFO] [1782289811.523146702] [minipc_mavros_offboard]: Waiting for MAVROS connection
[INFO] [1782289812.723472688] [minipc_mavros_offboard]: Waiting for MAVROS local odometry before arming
[INFO] [1782289812.724234253] [minipc_mavros_offboard]: Averaged MAVROS local odometry at lock x=0.09, y=0.07, z=-0.02
[INFO] [1782289812.724778381] [minipc_mavros_offboard]: Target setpoint locked to ENU for MAVROS local setpoint x=0.09, y=0.07, z_start=-0.02, z_final=0.98
[INFO] [1782289812.773099479] [minipc_mavros_offboard]: Streaming pre-arm MAVROS setpoints
[INFO] [1782289812.773534867] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.09, 0.07, -0.02), pos_err=(0.01, 0.08, -0.06), vel_err=(-0.00, 0.02, -0.02), accel=(-0.01, 0.38, -0.37)
[INFO] [1782289813.823664185] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.09, 0.07, -0.02), pos_err=(0.06, 0.08, 0.06), vel_err=(0.01, 0.02, 0.02), accel=(0.30, 0.40, 0.33)
[INFO] [1782289814.873311676] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.09, 0.07, -0.02), pos_err=(-0.01, 0.06, -0.07), vel_err=(-0.00, 0.01, -0.02), accel=(-0.05, 0.29, -0.43)
[INFO] [1782289815.923200665] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.09, 0.07, -0.02), pos_err=(0.06, 0.08, 0.06), vel_err=(0.01, 0.02, 0.02), accel=(0.28, 0.39, 0.33)
[INFO] [1782289816.923557858] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.09, 0.07, -0.02), pos_err=(0.05, 0.08, 0.06), vel_err=(0.01, 0.02, 0.02), accel=(0.27, 0.39, 0.34)
[INFO] [1782289817.773083227] [minipc_mavros_offboard]: Streaming setpoints and waiting for RC to switch OFFBOARD
[INFO] [1782289817.973600684] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.09, 0.07, -0.02), pos_err=(0.04, 0.05, -0.04), vel_err=(0.01, 0.01, -0.01), accel=(0.28, 0.27, -0.19)
[INFO] [1782289819.023144797] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.09, 0.07, -0.02), pos_err=(0.05, 0.08, 0.06), vel_err=(0.01, 0.02, 0.02), accel=(0.28, 0.40, 0.36)
[INFO] [1782289820.073190093] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.09, 0.07, -0.02), pos_err=(0.04, 0.06, -0.01), vel_err=(0.01, 0.02, -0.00), accel=(0.21, 0.31, -0.04)
[INFO] [1782289821.073578281] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.09, 0.07, -0.02), pos_err=(0.03, 0.06, -0.01), vel_err=(0.01, 0.01, -0.00), accel=(0.15, 0.30, -0.02)
[INFO] [1782289822.123603302] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.09, 0.07, -0.02), pos_err=(0.05, 0.08, 0.06), vel_err=(0.01, 0.02, 0.02), accel=(0.27, 0.41, 0.37)
