[INFO] [1782290126.935088282] [minipc_mavros_offboard]: Started minipc_mavros_offboard with arm_only=False, takeoff_height_m=0.8, hover_seconds=10.0, offboard_stabilize_seconds=20.0, use_rc_offboard=True, hold_after_arm_reject=True, ignore_z_in_arm_only=True, debug_hold_after_mode_drop=True, recent_pose_samples=30, require_vision_pose=True, vision_freshness_s=1.0, lift_only_seconds=2.5, z_ramp_seconds=2.0, target_xyz=(0.0, 0.0, -1.0), yaw_deg=0.0, auto_land=False, land_on_offboard_loss=True, offboard_land=True, offboard_land_speed_mps=0.1, offboard_land_auto_handoff_height_m=0.1, target_reached_tolerance_m=0.15, landed_hold_seconds=0.0, drift_guard_enabled=True, drift_warning_m=0.2, drift_land_m=0.3, drift_emergency_m=0.5, legacy_max_horizontal_drift_m=0.5, control_mode=mpc
[INFO] [1782290126.935849129] [minipc_mavros_offboard]: MPC parameters: dt=0.05, horizon_steps=20, max_vz=0.3, max_az=0.5, max_vxy=0.3, max_axy=0.5, xy_hold_weight=2.0, z_tracking_weight=3.0, velocity_weight=1.5, accel_weight=0.2, terminal_weight=4.0
[INFO] [1782290126.954873540] [minipc_mavros_offboard]: Waiting for MAVROS connection
[INFO] [1782290128.354842450] [minipc_mavros_offboard]: Waiting for MAVROS local odometry before arming
[INFO] [1782290128.355501220] [minipc_mavros_offboard]: Averaged MAVROS local odometry at lock x=0.02, y=-0.04, z=0.16
[INFO] [1782290128.355838888] [minipc_mavros_offboard]: Target setpoint locked to ENU for MAVROS local setpoint x=0.02, y=-0.04, z_start=0.16, z_final=1.16
[INFO] [1782290128.405364350] [minipc_mavros_offboard]: Streaming pre-arm MAVROS setpoints
[INFO] [1782290128.406403073] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.02, -0.04, 0.16), pos_err=(-0.00, 0.00, -0.00), vel_err=(-0.00, -0.00, -0.00), accel=(-0.03, -0.03, -0.10)
[INFO] [1782290129.458158750] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.02, -0.04, 0.16), pos_err=(-0.01, 0.01, -0.02), vel_err=(-0.00, 0.00, -0.01), accel=(-0.08, 0.00, -0.18)
[INFO] [1782290130.505781641] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.02, -0.04, 0.16), pos_err=(-0.03, -0.05, 0.22), vel_err=(-0.01, -0.01, 0.03), accel=(-0.13, -0.24, 0.50)
[INFO] [1782290131.556303782] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.02, -0.04, 0.16), pos_err=(-0.02, -0.05, 0.22), vel_err=(-0.00, -0.01, 0.03), accel=(-0.10, -0.25, 0.50)
[INFO] [1782290132.605326788] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.02, -0.04, 0.16), pos_err=(-0.00, 0.03, -0.00), vel_err=(-0.00, 0.01, -0.00), accel=(-0.01, 0.19, -0.01)
[INFO] [1782290133.404750815] [minipc_mavros_offboard]: Streaming setpoints and waiting for RC to switch OFFBOARD
[INFO] [1782290133.655221065] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.02, -0.04, 0.16), pos_err=(-0.02, -0.04, 0.22), vel_err=(-0.01, -0.01, 0.03), accel=(-0.12, -0.23, 0.50)
[INFO] [1782290134.663645409] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.02, -0.04, 0.16), pos_err=(-0.02, -0.05, 0.23), vel_err=(-0.01, -0.01, 0.03), accel=(-0.11, -0.24, 0.50)
[INFO] [1782290135.706612628] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.02, -0.04, 0.16), pos_err=(0.03, 0.05, 0.02), vel_err=(0.01, 0.01, 0.01), accel=(0.17, 0.25, 0.13)
[INFO] [1782290136.754554706] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.02, -0.04, 0.16), pos_err=(0.03, 0.04, 0.03), vel_err=(0.01, 0.01, 0.01), accel=(0.16, 0.23, 0.16)
[INFO] [1782290137.754873134] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.02, -0.04, 0.16), pos_err=(0.03, 0.04, 0.03), vel_err=(0.01, 0.01, 0.01), accel=(0.13, 0.19, 0.16)
